ID,Sentence,Description,App names,Owner,State,Updated at
7920837444,"When Visit Status changes to Anything and only if item Visit Status is not . +2, set item ACT Ready to ACT Ready","","","Braxton Rickert","active","Jul 22, 2026, 7:31 PM"
7920969904,"When Visit Status changes to DC - NEW REFERRALS, set item ACT Ready to DO NOT CALL","","","Braxton Rickert","active","Jul 21, 2026, 9:05 PM"
7920837497,"When Visit Status changes to Pending DC/NICOLE, set item ACT Ready to DO NOT CALL","","","Braxton Rickert","active","Jul 17, 2026, 7:58 PM"
7918034454,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is not . +4, notify someone","","","Braxton Rickert","active","Apr 23, 2026, 9:13 PM"
7918113910,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:44 PM"
7918113894,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:44 PM"
7918113878,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:43 PM"
7918113809,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:42 PM"
7918113774,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:41 PM"
7918113210,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:41 PM"
7918033688,"When Visit Status changes to ., set item Due Date to today and then push item's Due Date by some time","","","Braxton Rickert","deactivated","Apr 21, 2026, 9:39 PM"
7918040732,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone and then notify Daisy Trujillo +2","","","Braxton Rickert","active","Apr 21, 2026, 9:38 PM"
7918039939,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone","","","Braxton Rickert","deactivated","Apr 21, 2026, 9:37 PM"
7918034062,"When Due Date arrives and only if item Sent to CM is Yes and only if item Visit Status is ., notify someone","","","Braxton Rickert","deactivated","Apr 21, 2026, 9:37 PM"
7918034313,"When Visit Status changes and only if item Visit Status is not Seen +4, set item Due Date to today and then push item's Due Date by some time","","","Braxton Rickert","active","Apr 21, 2026, 8:49 PM"
7918034147,"When an item is created, set item Due Date to today","","","Braxton Rickert","active","Apr 18, 2026, 12:24 AM"
556587114,"When Visit Status changes to DC - ON HOLDS
 move item to Discharged Patients (Seen/Not Seen)",,"","Braxton Rickert","active","Mar 27, 2026, 4:57 PM"
556586843,"When Visit Status changes to DC - EXISTING PTS
 move item to Discharged Patients (Seen/Not Seen)",,"","Braxton Rickert","active","Mar 27, 2026, 4:56 PM"
556586109,"When Visit Status changes to DC - NEW REFERRALS
 move item to Discharged Patients (Seen/Not Seen)",,"","Braxton Rickert","active","Mar 27, 2026, 4:56 PM"
553431965,"When button clicked notify Braxton Rickert",,"","Braxton Rickert","deactivated","Mar 20, 2026, 9:09 PM"
546617451,"When an item is created create an item in Accounts and connect Master Sheet&Accounts with column",,"","Gelyn R. Clerigo","deactivated","Mar 19, 2026, 10:22 PM"
399627437,"When any column changes, send a webhook",,"Webhooks","Cole Winfield","error","Feb 18, 2026, 2:10 AM"
507174891,"When Visit Status changes to DC -Declined Service
 move item to Discharged Patients (Seen/Not Seen)",,"","Braxton Rickert","active","Dec 11, 2025, 12:11 AM"
